OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
3877,0028    2487,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3878,0028    2488,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,702,217,114,2017-08-13T18:01:04.000Z
3879,0028    2489,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,553,217,90,2017-08-13T18:01:04.000Z
3880,0028    2490,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,519,217,84,2017-08-13T18:01:04.000Z
3881,0028    2491,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3882,0028    2492,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3883,0028    2493,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3884,0028    2494,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3885,0028    2495,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,805,217,131,2017-08-13T18:01:04.000Z
3886,0028    2496,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3887,0028    2497,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,813,217,100,2017-08-13T18:01:04.000Z
3888,0028    2498,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3889,0028    2499,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,670,217,109,2017-08-13T18:01:04.000Z
3890,0028    2500,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,557,217,91,2017-08-13T18:01:04.000Z
3891,0028    2501,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3892,0028    2502,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,580,217,94,2017-08-13T18:01:04.000Z
3893,0028    2503,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,630,217,102,2017-08-13T18:01:04.000Z
3894,0028    2504,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3895,0028    2505,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
3896,0028    2506,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,702,217,114,2017-08-13T18:01:04.000Z
3897,0028    2507,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,553,217,90,2017-08-13T18:01:04.000Z
3898,0028    2508,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,519,217,84,2017-08-13T18:01:04.000Z
3899,0028    2509,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3900,0028    2510,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3901,0028    2511,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3902,0028    2512,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3903,0028    2513,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,805,217,131,2017-08-13T18:01:04.000Z
3904,0028    2514,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3905,0028    2515,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3906,0028    2516,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,618,217,100,2017-08-13T18:01:04.000Z
3907,0028    2517,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,670,217,109,2017-08-13T18:01:04.000Z
3908,0028    2518,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,557,217,91,2017-08-13T18:01:04.000Z
3909,0028    2519,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,,78294274,U,1985,,1985,3,540,217,88,2017-08-13T18:01:04.000Z
